
Mon Jul 30 2012,10:43:34 GMT-0400 (EDT),1343659414545, level 1 started
Mon Jul 30 2012,10:43:34 GMT-0400 (EDT),1343659414557, Winner
Mon Jul 30 2012,10:47:31 GMT-0400 (EDT),1343659651163,1, level 1 started
Mon Jul 30 2012,10:47:31 GMT-0400 (EDT),1343659651174,1, Winner
Mon Jul 30 2012,10:47:31 GMT-0400 (EDT),1343659651166,2, level 1 started
Mon Jul 30 2012,10:47:31 GMT-0400 (EDT),1343659651177,2, Winner
Mon Jul 30 2012,10:53:19 GMT-0400 (EDT),1343659999384,1, level 1 started
Mon Jul 30 2012,10:53:19 GMT-0400 (EDT),1343659999392,1, Winner
Mon Jul 30 2012,10:53:19 GMT-0400 (EDT),1343659999388,2, level 1 started
Mon Jul 30 2012,10:53:19 GMT-0400 (EDT),1343659999396,2, Winner
Mon Jul 30 2012,10:56:37 GMT-0400 (EDT),1343660197971,1, level 1 started
Mon Jul 30 2012,10:56:43 GMT-0400 (EDT),1343660203562,1, player1: position = (512,192)
Mon Jul 30 2012,10:56:43 GMT-0400 (EDT),1343660203577,1, player2: position = (256,608)
Mon Jul 30 2012,10:56:48 GMT-0400 (EDT),1343660208662,1, player1: position = (512,192)
Mon Jul 30 2012,10:56:49 GMT-0400 (EDT),1343660209380,1, player2: position = (256,608)
Mon Jul 30 2012,10:56:53 GMT-0400 (EDT),1343660213686,1, player1: position = (512,192)
Mon Jul 30 2012,10:56:58 GMT-0400 (EDT),1343660218703,1, player1: position = (500,280)
Mon Jul 30 2012,10:57:01 GMT-0400 (EDT),1343660221404,1, player2: position = (256,608)
Mon Jul 30 2012,10:57:03 GMT-0400 (EDT),1343660223727,1, player1: position = (700,652)
Mon Jul 30 2012,10:57:08 GMT-0400 (EDT),1343660228746,1, player1: position = (656,268)
Mon Jul 30 2012,10:57:13 GMT-0400 (EDT),1343660233747,1, player1: position = (144,612)
Mon Jul 30 2012,10:57:17 GMT-0400 (EDT),1343660237435,1, player2: position = (256,608)
Mon Jul 30 2012,10:57:18 GMT-0400 (EDT),1343660238758,1, player1: position = (704,700)
Mon Jul 30 2012,10:57:24 GMT-0400 (EDT),1343660244045,1, player1: position = (544,140)
Mon Jul 30 2012,10:57:29 GMT-0400 (EDT),1343660249056,1, player1: position = (108,96)
Mon Jul 30 2012,10:57:34 GMT-0400 (EDT),1343660254066,1, player1: position = (32,320)
Mon Jul 30 2012,10:57:39 GMT-0400 (EDT),1343660259087,1, player1: position = (32,672)
Mon Jul 30 2012,10:57:44 GMT-0400 (EDT),1343660264101,1, player1: position = (488,704)
Mon Jul 30 2012,10:57:49 GMT-0400 (EDT),1343660269105,1, player1: position = (672,668)
Mon Jul 30 2012,10:57:49 GMT-0400 (EDT),1343660269424,1, player2: position = (256,608)
Mon Jul 30 2012,10:57:54 GMT-0400 (EDT),1343660274113,1, player1: position = (672,704)
Mon Jul 30 2012,10:57:59 GMT-0400 (EDT),1343660279128,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:00 GMT-0400 (EDT),1343660280149,1, player2: position = (256,608)
Mon Jul 30 2012,10:58:05 GMT-0400 (EDT),1343660285159,1, player2: position = (256,608)
Mon Jul 30 2012,10:58:07 GMT-0400 (EDT),1343660287245,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:10 GMT-0400 (EDT),1343660290178,1, player2: position = (256,168)
Mon Jul 30 2012,10:58:15 GMT-0400 (EDT),1343660295350,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:15 GMT-0400 (EDT),1343660295364,1, player2: position = (256,88)
Mon Jul 30 2012,10:58:20 GMT-0400 (EDT),1343660300323,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:25 GMT-0400 (EDT),1343660305332,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:26 GMT-0400 (EDT),1343660306831,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:31 GMT-0400 (EDT),1343660311205,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:32 GMT-0400 (EDT),1343660312125,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:37 GMT-0400 (EDT),1343660317138,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:38 GMT-0400 (EDT),1343660318083,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:43 GMT-0400 (EDT),1343660323098,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:44 GMT-0400 (EDT),1343660324126,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:48 GMT-0400 (EDT),1343660328120,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:52 GMT-0400 (EDT),1343660332308,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:53 GMT-0400 (EDT),1343660333343,1, player2: position = (256,32)
Mon Jul 30 2012,10:58:57 GMT-0400 (EDT),1343660337355,1, player1: position = (528,704)
Mon Jul 30 2012,10:58:58 GMT-0400 (EDT),1343660338272,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:02 GMT-0400 (EDT),1343660342377,1, player1: position = (528,704)
Mon Jul 30 2012,10:59:04 GMT-0400 (EDT),1343660344036,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:09 GMT-0400 (EDT),1343660349047,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:09 GMT-0400 (EDT),1343660349804,1, player1: position = (528,704)
Mon Jul 30 2012,10:59:14 GMT-0400 (EDT),1343660354047,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:18 GMT-0400 (EDT),1343660358074,1, player1: position = (528,704)
Mon Jul 30 2012,10:59:19 GMT-0400 (EDT),1343660359346,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:24 GMT-0400 (EDT),1343660364817,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:26 GMT-0400 (EDT),1343660366085,1, player1: position = (528,704)
Mon Jul 30 2012,10:59:29 GMT-0400 (EDT),1343660369777,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:34 GMT-0400 (EDT),1343660374790,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:39 GMT-0400 (EDT),1343660379796,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:42 GMT-0400 (EDT),1343660382270,1, player1: position = (528,704)
Mon Jul 30 2012,10:59:44 GMT-0400 (EDT),1343660384831,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:49 GMT-0400 (EDT),1343660389839,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:54 GMT-0400 (EDT),1343660394868,1, player2: position = (256,32)
Mon Jul 30 2012,10:59:59 GMT-0400 (EDT),1343660399877,1, player2: position = (256,32)
Mon Jul 30 2012,11:00:05 GMT-0400 (EDT),1343660405050,1, player2: position = (256,32)
Mon Jul 30 2012,11:00:10 GMT-0400 (EDT),1343660410541,1, player2: position = (256,32)
Mon Jul 30 2012,11:00:11 GMT-0400 (EDT),1343660411829,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:15 GMT-0400 (EDT),1343660415497,1, player2: position = (256,32)
Mon Jul 30 2012,11:00:16 GMT-0400 (EDT),1343660416854,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:20 GMT-0400 (EDT),1343660420505,1, player2: position = (256,32)
Mon Jul 30 2012,11:00:25 GMT-0400 (EDT),1343660425509,1, player2: position = (256,232)
Mon Jul 30 2012,11:00:28 GMT-0400 (EDT),1343660428866,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:30 GMT-0400 (EDT),1343660430518,1, player2: position = (256,232)
Mon Jul 30 2012,11:00:33 GMT-0400 (EDT),1343660433872,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:36 GMT-0400 (EDT),1343660436008,1, player2: position = (256,232)
Mon Jul 30 2012,11:00:39 GMT-0400 (EDT),1343660439798,1, block placed at (256,232)
Mon Jul 30 2012,11:00:40 GMT-0400 (EDT),1343660440301,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:41 GMT-0400 (EDT),1343660441721,1, player2: position = (256,232)
Mon Jul 30 2012,11:00:45 GMT-0400 (EDT),1343660445306,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:47 GMT-0400 (EDT),1343660447736,1, player2: position = (256,232)
Mon Jul 30 2012,11:00:50 GMT-0400 (EDT),1343660450312,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:52 GMT-0400 (EDT),1343660452748,1, player2: position = (256,232)
Mon Jul 30 2012,11:00:55 GMT-0400 (EDT),1343660455395,1, player1: position = (528,704)
Mon Jul 30 2012,11:00:57 GMT-0400 (EDT),1343660457756,1, player2: position = (256,232)
Mon Jul 30 2012,11:01:02 GMT-0400 (EDT),1343660462785,1, player2: position = (256,232)
Mon Jul 30 2012,11:01:07 GMT-0400 (EDT),1343660467410,1, player1: position = (528,704)
Mon Jul 30 2012,11:01:07 GMT-0400 (EDT),1343660467797,1, player2: position = (256,232)
Mon Jul 30 2012,11:01:12 GMT-0400 (EDT),1343660472811,1, player2: position = (256,232)
Mon Jul 30 2012,11:01:17 GMT-0400 (EDT),1343660477821,1, player2: position = (256,232)
Mon Jul 30 2012,11:01:22 GMT-0400 (EDT),1343660482829,1, player2: position = (256,232)
Mon Jul 30 2012,11:01:23 GMT-0400 (EDT),1343660483415,1, player1: position = (528,704)
Mon Jul 30 2012,10:56:37 GMT-0400 (EDT),1343660197974,2, level 1 started
Mon Aug 06 2012,09:33:38 GMT-0400 (EDT),1344260018448,2, level 1 started
Mon Aug 06 2012,09:43:15 GMT-0400 (EDT),1344260595521,2, level 1 started
Mon Aug 06 2012,09:43:15 GMT-0400 (EDT),1344260595516,1, level 1 started
Mon Aug 06 2012,09:43:20 GMT-0400 (EDT),1344260600521,1, player1: position = (0,-32)
Mon Aug 06 2012,09:43:21 GMT-0400 (EDT),1344260601038,1, player2: position = (0,-32)
Mon Aug 06 2012,09:43:25 GMT-0400 (EDT),1344260605531,1, player1: position = (0,-32)
